Date,WRIMS_C1_Flow,Riverware_Klamath_Outflow,WRIMS_C15_Flow,Riverware_Keno_Outflow,WRIMS_cum_ag_UKL_SS_Delivery,Riverware_cum_ag_UKL_SS_Delivery,WRIMS_Supply,Riverware_Project_Supply_Accounting,WRIMS_OPS_Index,Riverware_OPS_Index,WRIMS_Shadow_Elev,Riverware_Shadow_Elev,WRIMS_UKL_Pool_Elevation,Riverware_UKL_Pool_Elevation,WRIMS_FFA,Riverware_FFA,WRIMS_UKL_PRJ_CREDIT,Riverware_DPSA
19Oct1981,834,772.9772465,1034,839.1618628,176410,183350.3019,252835.2827,194011.5646,0.36,0.639162091,4138.00,4141.911811,4138.27,4141.923789,1633.38,10255.17682,0.00,0
20Oct1981,821,729.8750359,1028,853.6263225,176410,183350.3019,252835.2827,194011.5646,0.36,0.642084524,4138.00,4141.922047,4138.26,4141.934601,1730.72,11356.37368,0.00,0
21Oct1981,812,741.3930326,1022,865.2109872,176410,183350.3019,252835.2827,194011.5646,0.37,0.645446008,4138.00,4141.93233,4138.26,4141.945446,1828.63,12510.56743,0.00,0
22Oct1981,827,657.8497732,1032,851.7506094,176411,183361.1157,252835.2827,194011.5646,0.37,0.648953418,4138.00,4141.94997,4138.27,4141.963629,1927.03,13716.40071,0.00,0
23Oct1981,828,763.1921234,1035,853.6887889,176412,183372.0285,252835.2827,194011.5646,0.37,0.653805359,4138.00,4141.959309,4138.28,4141.973483,2025.88,14972.23145,0.00,0
24Oct1981,824,850.5911499,1032,858.933642,176412,183382.8918,252835.2827,194011.5646,0.38,0.657261266,4138.00,4141.964731,4138.30,4141.979397,2125.21,16275.40799,0.00,0
25Oct1981,851,718.0568826,1029,832.836881,176413,183393.6395,252835.2827,194011.5646,0.38,0.659990193,4138.00,4141.971634,4138.31,4141.986771,2224.79,17623.77253,0.00,0
26Oct1981,848,773.7068814,1021,836.707708,176413,183405.0895,252835.2827,194011.5646,0.38,0.662849267,4138.00,4141.978865,4138.33,4141.99445,2324.48,19015.46303,0.00,0
27Oct1981,846,740.7783709,1031,836.4587017,176413,183432.122,252835.2827,194011.5646,0.38,0.665547528,4138.00,4141.981446,4138.34,4141.997457,2424.12,20448.37889,0.00,0
28Oct1981,836,801.2193743,1085,845.8705317,176413,183459.3692,252835.2827,194011.5646,0.37,0.667143554,4138.00,4141.971702,4138.37,4141.988123,2523.68,21920.39713,0.00,0
29Oct1981,827,831.7249437,1147,854.6385995,176413,183486.7322,252835.2827,194011.5646,0.37,0.666233282,4138.00,4141.97343,4138.38,4141.99027,2622.89,23430.19779,0.00,0
30Oct1981,829,790.0425051,1124,852.7269986,176413,183513.2109,252835.2827,194011.5646,0.36,0.666576615,4138.00,4141.982054,4138.39,4141.999311,2721.34,24978.53954,0.00,0
31Oct1981,836,773.1652243,1094,845.949715,176413,183539.6566,252835.2827,194011.5646,0.36,0.667461571,4138.00,4141.995969,4138.39,4142.013587,2819.27,26565.13805,0.00,0
01Nov1981,900,970.2575616,1101,859.2413667,176413,183539.6566,252835.2827,194011.5646,0.36,0.668667796,4138.00,4142.008372,4138.40,4142.026222,2916.74,28189.25025,0.00,0
02Nov1981,900,928.6564879,1101,857.3219426,176413,183539.6566,252835.2827,194011.5646,0.35,0.669011454,4138.00,4142.021103,4138.41,4142.039321,3013.90,29849.83969,0.00,0
03Nov1981,913,760.8500127,1084,842.1941715,176413,183539.6566,252835.2827,194011.5646,0.35,0.668468686,4138.00,4142.035639,4138.41,4142.05425,3110.49,31546.60607,0.00,0
04Nov1981,919,732.0793598,1068,833.7499214,176413,183539.6566,252835.2827,194011.5646,0.35,0.666666358,4138.00,4142.050052,4138.40,4142.069073,3206.47,33280.02266,0.00,0
05Nov1981,910,705.6423128,1063,842.6169696,176413,183539.6566,252835.2827,194011.5646,0.34,0.666149926,4138.00,4142.073526,4138.41,4142.095711,3301.99,35051.62131,0.00,256.1355566
06Nov1981,887,766.5570257,1067,865.4720938,176413,183543.6235,252835.2827,194011.5646,0.34,0.665598,4138.00,4142.085578,4138.41,4142.111495,3397.18,36861.82976,0.00,566.0200414
07Nov1981,883,766.0271724,1078,868.2034187,176413,183547.5905,252835.2827,194011.5646,0.34,0.664602185,4138.00,4142.089161,4138.41,4142.119307,3492.58,38711.09959,0.00,927.3169974
08Nov1981,901,771.8924876,1095,849.0088986,176413,183551.5574,252835.2827,194011.5646,0.34,0.660535387,4138.00,4142.094158,4138.44,4142.127269,3587.80,40600.23112,0.00,1167.906781
09Nov1981,922,713.4188606,1088,827.4019404,176413,183555.5243,252835.2827,194011.5646,0.34,0.658649552,4138.00,4142.101015,4138.48,4142.137087,3682.98,42532.29986,0.00,1408.628689
10Nov1981,928,738.9076626,1102,821.389399,176413,183559.4913,252835.2827,194011.5646,0.34,0.655711613,4138.00,4142.10797,4138.54,4142.146891,3778.16,44508.62678,0.00,1636.898755
11Nov1981,913,723.8177264,1140,834.9224447,176413,183559.4913,252835.2827,194011.5646,0.34,0.654430802,4138.00,4142.109013,4138.60,4142.152078,3873.45,46531.13695,0.00,1980.67799
12Nov1981,920,674.7954074,1185,824.3490921,176413,183559.4913,252835.2827,194011.5646,0.34,0.650393512,4138.00,4142.103198,4138.65,4142.149962,3968.41,48600.619,0.00,2274.033414
13Nov1981,925,661.9468366,1245,814.8720414,176413,183559.4913,252835.2827,194011.5646,0.33,0.646919693,4138.00,4142.114521,4138.70,4142.165164,4062.97,50719.35752,0.00,2594.277012
14Nov1981,900,787.633783,1314,837.9761152,176413,183559.4913,252835.2827,194011.5646,0.33,0.64493314,4138.00,4142.110897,4138.76,4142.166511,4156.54,52889.07372,0.00,3010.023725
15Nov1981,862,866.2552496,1430,867.7728923,176413,183559.4913,252835.2827,194011.5646,0.32,0.641861514,4138.00,4142.112156,4138.82,4142.172947,4249.56,55110.65025,0.00,3444.241335
16Nov1981,892,717.3616562,1621,829.3031098,176413,183559.4913,252835.2827,194011.5646,0.31,0.638419111,4138.00,4142.134028,4138.88,4142.197315,4341.66,57385.07032,0.00,3625.248888
17Nov1981,917,194.4245772,1609,801.4956049,176413,183559.4913,252835.2827,194011.5646,0.32,0.64025409,4138.00,4142.182257,4138.94,4142.245938,4432.98,59713.24389,0.00,3638.098164
18Nov1981,662,913.3576545,1582,1058.44375,176413,183559.4913,252835.2827,194011.5646,0.32,0.64598758,4138.00,4142.222127,4139.00,4142.289237,4524.48,62502.10204,0.00,3935.119131
19Nov1981,625,1005.955931,1615,1100.274153,176413,183559.4913,252835.2827,194011.5646,0.33,0.65226754,4138.00,4142.253011,4139.05,4142.334426,4616.77,64933.69452,0.00,5262.973274
20Nov1981,693,1003.444882,1686,1035.785067,176413,183559.4913,252835.2827,194011.5646,0.35,0.655767204,4139.00,4142.294587,4139.10,4142.376105,4710.80,67412.44914,0.00,5258.176551
21Nov1981,754,920.4573494,1682,978.3083994,176413,183559.4913,252835.2827,194011.5646,0.36,0.663088312,4139.00,4142.332872,4139.15,4142.415352,4806.61,69936.12147,0.00,5325.282429
22Nov1981,786,913.6959644,1736,949.9713195,176413,183559.4913,252835.2827,194011.5646,0.37,0.66880815,4139.00,4142.375146,4139.20,4142.459399,4904.18,72499.55971,0.00,5489.193934
23Nov1981,814,874.6634646,1730,920.7768896,176413,183559.4913,252835.2827,194011.5646,0.39,0.6773454,4139.00,4142.419154,4139.23,4142.505625,5003.52,75098.06018,0.00,5698.954637
24Nov1981,839,827.1414039,1692,893.8444743,176413,183559.4913,252835.2827,194011.5646,0.41,0.685004473,4139.00,4142.47313,4139.26,4142.560693,5104.01,77723.64906,0.00,5818.678523
25Nov1981,891,755.4539954,1678,838.3308004,176413,183559.4913,252835.2827,194011.5646,0.42,0.696998459,4139.00,4142.52958,4139.29,4142.618456,5206.78,80368.11382,0.00,5971.356446
26Nov1981,754,912.0945053,1574,980.0211819,176413,183559.4913,252835.2827,194011.5646,0.44,0.708796842,4139.00,4142.571994,4139.33,4142.66266,5313.70,83016.66015,0.00,6171.870501
27Nov1981,768,917.326245,1539,970.3914796,176413,183559.4913,252835.2827,194011.5646,0.46,0.715395408,4139.00,4142.609219,4139.36,4142.702736,5426.20,85665.20648,0.00,6472.528407
28Nov1981,858,857.0829749,1604,890.425648,176413,183559.4913,252835.2827,194011.5646,0.48,0.72152551,4139.00,4142.655899,4139.38,4142.749056,5544.20,88313.7528,0.00,6461.86672
29Nov1981,911,829.6089362,1575,848.3567857,176413,183559.4913,252835.2827,194011.5646,0.50,0.729137755,4139.00,4142.7002,4139.41,4142.794917,5696.84,90962.29913,0.00,6641.939156
30Nov1981,973,791.1148104,1486,805.0052066,176413,183559.4913,252835.2827,194011.5646,0.53,0.737966837,4139.00,4142.736574,4139.46,4142.8341,5893.25,93610.84546,0.00,6937.860864
01Dec1981,869,788.9433219,1466,798.2119184,176413,183559.4913,252835.2827,194011.5646,0.55,0.74777551,4139.00,4142.765714,4139.49,4142.865193,6144.53,96259.39178,0.00,7147.82626
02Dec1981,866,764.3067243,1431,819.6623571,176413,183559.4913,252835.2827,194011.5646,0.57,0.758071429,4139.00,4142.794424,4139.50,4142.895975,6498.50,98907.93811,271.52,7369.37938
03Dec1981,882,779.578577,1411,821.237051,176413,183559.4913,252835.2827,194011.5646,0.58,0.768668367,4139.00,4142.819124,4139.54,4142.922846,6916.05,101556.4844,543.05,7600.436038
04Dec1981,897,825.5123694,1428,820.8532781,176413,183559.4913,252835.2827,194011.5646,0.59,0.779436224,4139.00,4142.846689,4139.58,4142.953117,7399.54,104205.0308,814.57,7885.204804
05Dec1981,909,772.8286682,1416,814.3268367,176413,183559.4913,252835.2827,194011.5646,0.60,0.790076531,4139.00,4142.87505,4139.61,4142.983919,7944.46,106853.5771,1086.09,8144.049914
06Dec1981,895,897.4245726,1519,855.7427679,176413,183559.4913,252835.2827,194011.5646,0.61,0.800290816,4139.00,4142.892734,4139.64,4143.003193,8502.03,109502.1234,1357.62,8312.221457
07Dec1981,912,787.2941782,1664,845.500727,176413,183559.4913,252835.2827,194011.5646,0.61,0.81009949,4139.00,4142.921342,4139.68,4143.03428,9059.06,112150.6697,1629.14,8585.191693
08Dec1981,996,679.598161,1699,784.8000574,176413,183559.4913,252835.2827,194011.5646,0.61,0.819701531,4139.00,4142.964286,4139.72,4143.077158,9610.39,114799.2161,1900.66,8608.186712
09Dec1981,1082,683.7745393,1698,748.3354592,176413,183559.4913,252835.2827,194011.5646,0.62,0.828890306,4139.00,4142.999873,4139.77,4143.115487,10156.21,117447.7624,2172.19,8909.172464
10Dec1981,1129,775.5878199,1732,752.7887946,176413,183559.4913,252835.2827,194011.5646,0.63,0.837446429,4139.00,4143.012102,4139.81,4143.132528,10696.00,120096.3087,2443.71,9404.257323
11Dec1981,1132,660.6886832,1708,759.7992602,176413,183559.4913,252835.2827,194011.5646,0.63,0.845117347,4139.00,4143.047536,4139.84,4143.172164,11222.84,122744.8551,2715.23,9840.325704
12Dec1981,1132,653.7488611,1708,788.0287054,176413,183559.4913,252835.2827,194011.5646,0.63,0.851660714,4139.00,4143.088347,4139.91,4143.215298,11748.49,125393.4014,2986.75,10091.6046
13Dec1981,1154,664.8986118,1777,801.285,176413,183559.4913,252835.2827,194011.5646,0.63,0.856928571,4139.00,4143.120325,4140.00,4143.25177,12264.71,128041.9477,3258.28,10563.18547
14Dec1981,1157,664.7714214,1861,799.5483418,176413,183559.4913,252835.2827,194011.5646,0.63,0.860887755,4139.00,4143.154258,4140.11,4143.290369,12766.51,130690.494,3529.80,11044.15599
15Dec1981,1132,812.3874608,1983,832.5851403,176413,183559.4913,252835.2827,194011.5646,0.64,0.863647959,4139.00,4143.191875,4140.20,4143.332323,13267.65,133339.0404,3801.32,11499.42975
16Dec1981,1109,760.858225,1909,861.816199,176413,183559.4913,252835.2827,194011.5646,0.64,0.865173469,4139.00,4143.232304,4140.29,4143.377037,13767.27,135987.5867,4072.85,11949.83798
17Dec1981,1108,743.5746971,1866,862.6817602,176413,183559.4913,252835.2827,194011.5646,0.64,0.865765306,4140.00,4143.278196,4140.37,4143.424283,14264.72,138636.133,4344.37,12103.9247
18Dec1981,1124,725.8908406,1844,847.3049426,176413,183559.4913,252835.2827,194011.5646,0.64,0.865507653,4140.00,4143.32277,4140.45,4143.471802,14762.89,141284.6793,4615.89,12424.00104
19Dec1981,1365,194.5622556,2522,604.1110651,176413,183559.4913,252835.2827,194011.5646,0.64,0.864691327,4140.00,4143.364834,4140.54,4143.51779,15260.37,143933.2257,4887.42,12835.19861
20Dec1981,1155,0,4142,1141.235005,176413,183559.4913,252835.2827,194011.5646,0.63,0.863584184,4140.00,4143.443402,4140.64,4143.600449,15758.32,146790.9047,5158.94,13282.89818
21Dec1981,803,10.72370424,4733,1200.693591,176413,183559.4913,252835.2827,194011.5646,0.64,0.862354592,4140.00,4143.534279,4140.72,4143.705396,16259.88,150034.4924,5430.46,14753.17265
22Dec1981,747,1010.911251,4064,1377.697577,176413,183559.4913,252835.2827,194011.5646,0.66,0.860989796,4140.00,4143.610329,4140.80,4143.798646,16737.17,153256.8098,5701.99,16546.14459
23Dec1981,1073,5616.863018,3435,5735.519275,176413,183559.4913,252835.2827,194011.5646,0.68,0.859594388,4140.00,4143.670883,4140.87,4143.795646,17130.21,155905.3562,5973.51,18996.38156
24Dec1981,1395,5609.643522,3023,5720.18029,176413,183559.4913,252835.2827,194011.5646,0.70,0.858239796,4140.00,4143.739993,4140.93,4143.790624,17363.03,158553.9025,6245.03,11685.54374
25Dec1981,1566,5601.885522,2765,5664.701397,176413,183559.4913,252835.2827,194011.5646,0.71,0.857020408,4140.00,4143.753812,4140.99,4143.787026,17411.20,161202.4488,6516.56,9912.445832
26Dec1981,1631,5603.183264,2786,5708.071982,176413,183559.4913,252835.2827,194011.5646,0.73,0.856022959,4140.00,4143.759335,4141.04,4143.792066,17411.20,163850.9952,6788.08,9912.445832
27Dec1981,1784,5614.394038,2851,5987.624665,176413,183559.4913,252835.2827,194011.5646,0.75,0.855331633,4140.00,4143.765363,4141.08,4143.799483,17411.20,166499.5415,7059.60,10713.81723
28Dec1981,1806,5638.766282,2919,6008.491789,176413,183559.4913,252835.2827,194011.5646,0.77,0.855045918,4140.00,4143.777248,4141.12,4143.819146,17411.20,169148.0878,7331.13,11415.14011
29Dec1981,1961,5659.470105,3008,5743.715873,176413,183559.4913,252835.2827,194011.5646,0.79,0.855237245,4140.00,4143.768746,4141.16,4143.822487,17411.20,171796.6341,7602.65,12196.01913
30Dec1981,2127,5667.888406,3372,5734.544121,176413,183559.4913,252835.2827,194011.5646,0.81,0.856160714,4140.00,4143.762491,4141.18,4143.8285,17411.20,174445.1805,7874.17,13498.01827
31Dec1981,2256,5677.655879,3593,5685.373999,176413,183559.4913,252835.2827,194011.5646,0.83,0.857701531,4141.00,4143.752763,4141.19,4143.83334,17411.20,177093.7268,8145.70,14816.5078
01Jan1982,2411,5682.69928,3583,5718.271826,0,0,252835.2827,194011.5646,0.84,0.859997449,4141.00,4143.743775,4141.21,4143.834104,17411.20,179742.2731,8417.22,15608.69976
02Jan1982,2540,5678.450463,3562,5708.511128,0,0,252835.2827,194011.5646,0.85,0.862971939,4141.00,4143.730914,4141.21,4143.828619,17411.20,182390.8194,8688.74,16376.22732
03Jan1982,2656,5666.793475,3444,5711.461105,0,0,252835.2827,194011.5646,0.86,0.866545918,4141.00,4143.71735,4141.22,4143.821152,17411.20,185039.3658,8960.26,17050.97548
04Jan1982,2734,1003.414176,3374,1075.343903,0,0,252835.2827,194011.5646,0.87,0.870413265,4141.00,4143.694293,4141.23,4143.894575,17411.20,187687.9121,9231.79,17807.82318
05Jan1982,2598,4179.720124,3330,4370.82851,0,0,252835.2827,194011.5646,0.87,0.874262755,4141.00,4143.756473,4141.24,4143.869324,17411.20,190336.4584,9503.31,18575.97204
06Jan1982,2493,655.7342037,3295,1059.675893,0,0,252835.2827,194011.5646,0.87,0.878035714,4141.00,4143.723313,4141.24,4143.968753,17411.20,192674.889,9774.83,22449.85704
07Jan1982,2503,4693.46342,3329,5083.93428,0,0,252835.2827,194011.5646,0.87,0.881614796,4141.00,4143.782037,4141.25,4143.926276,17411.20,195323.4353,10046.36,22449.85704
08Jan1982,2473,4393.46342,3327,4782.305114,0,0,252835.2827,194011.5646,0.87,0.885033163,4141.00,4143.756129,4141.25,4143.928046,17411.20,197971.9817,10317.88,22310.37462
09Jan1982,2505,4393.46342,3325,4782.296779,0,0,252835.2827,194011.5646,0.87,0.888375,4141.00,4143.737251,4141.25,4143.906519,17411.20,200620.528,10589.40,21846.64729
10Jan1982,2517,547.6814228,3292,952.358125,0,0,252835.2827,194011.5646,0.86,0.891625,4141.00,4143.709494,4141.26,4143.94911,17411.20,203269.0743,10860.93,21846.64729
11Jan1982,2365,391.195291,3225,931.9289668,0,0,252835.2827,194011.5646,0.86,0.894772959,4141.00,4143.749679,4141.26,4143.996645,17411.20,205917.6206,11164.06,22617.90354
12Jan1982,2340,393.0000887,3228,909.0212628,0,0,252835.2827,194011.5646,0.85,0.897721939,4141.00,4143.715555,4141.27,4143.941836,17411.20,208566.167,11742.02,30719.61995
13Jan1982,2318,350.226664,3224,893.5061735,0,0,252835.2827,194011.5646,0.85,0.900418367,4141.00,4143.7514,4141.29,4144.085194,17411.20,211214.7133,12321.98,31535.14954
14Jan1982,2274,2392.319243,3099,2980.694591,0,0,252835.2827,194011.5646,0.84,0.902785714,4141.00,4143.78696,4141.30,4144.016923,17411.20,213863.2596,12893.94,32306.57872
15Jan1982,2234,280.858342,2981,883.8378571,0,0,252835.2827,194011.5646,0.83,0.904714286,4141.00,4143.814629,4141.31,4144.130039,17411.20,216482.839,13412.90,29690.5381
16Jan1982,2235,2705.373345,2853,3283.682025,0,0,252835.2827,194011.5646,0.82,0.906288265,4141.00,4143.856533,4141.33,4144.057558,17411.20,219169.3523,13935.87,29690.5381
17Jan1982,2222,2405.373345,2769,2994.832026,0,0,252835.2827,194011.5646,0.82,0.907512755,4141.00,4143.837006,4141.33,4144.124201,17411.20,221773.6672,14450.83,31157.2173
18Jan1982,2210,2255.373345,2765,2874.74453,0,0,252835.2827,194011.5646,0.81,0.908579082,4141.00,4143.837448,4141.34,4144.126639,17411.20,224422.2135,14951.79,31157.2173
19Jan1982,2138,2105.373345,2789,2649.707025,0,0,252835.2827,194011.5646,0.81,0.909627551,4141.00,4143.835419,4141.35,4144.134837,17411.20,227070.7598,15412.75,31709.23452
20Jan1982,2082,1955.373345,2776,2496.219525,0,0,252835.2827,194011.5646,0.80,0.910441327,4141.00,4143.842746,4141.36,4144.148308,17411.20,229719.3062,15853.71,31985.84678
21Jan1982,2040,1805.373345,2670,2353.807026,0,0,252835.2827,194011.5646,0.80,0.911061224,4141.00,4143.847745,4141.38,4144.165237,17411.20,232367.8525,16284.68,32916.83095
22Jan1982,2006,1655.373345,2587,2258.74453,0,0,252835.2827,194011.5646,0.79,0.91144898,4141.00,4143.85733,4141.40,4144.18424,17411.20,235016.3988,16709.64,33698.9804
23Jan1982,1955,1505.373345,2508,2070.42786,0,0,252835.2827,194011.5646,0.78,0.911556122,4141.00,4143.867171,4141.42,4144.205465,17411.20,237664.9451,17138.60,34474.21249
24Jan1982,1903,1355.373345,2465,1982.719529,0,0,252835.2827,194011.5646,0.77,0.911290816,4141.00,4143.881559,4141.44,4144.229005,17411.20,240313.4915,17567.56,35264.49417
25Jan1982,1864,1205.373345,2450,1831.198696,0,0,252835.2827,194011.5646,0.77,0.910691327,4141.00,4143.88854,4141.46,4144.247571,17411.20,242962.0378,18050.52,36163.7428
26Jan1982,1809,1055.373345,2580,1591.290355,0,0,252835.2827,194011.5646,0.76,0.909813776,4141.00,4143.898325,4141.48,4144.269794,17411.20,245610.5841,18535.48,36986.99143
27Jan1982,1763,905.3733448,2659,1565.677862,0,0,252835.2827,194011.5646,0.75,0.908729592,4141.00,4143.917786,4141.50,4144.298511,17411.20,248259.1304,19060.45,37933.79378
28Jan1982,1676,1013.803727,2494,1638.187408,0,0,252835.2827,194011.5646,0.74,0.907387755,4141.00,4143.93538,4141.52,4144.218927,17411.20,250907.6768,19618.41,38877.5796
29Jan1982,1585,408.6776439,2386,923.6904846,0,0,252835.2827,194011.5646,0.74,0.905068809,4141.00,4143.951603,4141.54,4144.362737,17411.20,253556.2231,20206.37,39643.03483
30Jan1982,1533,2660.342536,2285,3273.784551,0,0,252835.2827,194011.5646,0.73,0.899342801,4141.00,4143.987513,4141.56,4144.282199,17411.20,256204.7694,20786.33,40142.61989
31Jan1982,1477,2360.342536,2203,2893.24288,0,0,252835.2827,194011.5646,0.72,0.896404705,4141.00,4143.994312,4141.58,4144.358774,17411.20,258853.3158,21338.29,38679.4451
01Feb1982,1247,2060.342536,2134,2688.400902,0,0,252835.2827,194011.5646,0.71,0.886835252,4141.00,4143.986785,4141.61,4144.363935,17411.20,261501.8621,21861.26,38679.4451
02Feb1982,1232,1910.342536,2084,2549.584237,0,0,252835.2827,194011.5646,0.71,0.876222975,4141.00,4143.986581,4141.63,4144.371212,17411.20,264150.4084,22772.28,39301.14827
03Feb1982,1211,1760.342536,2062,2366.434236,0,0,252835.2827,194011.5646,0.70,0.871029864,4141.00,4143.982751,4141.66,4144.380712,17411.20,266798.9547,23661.30,40358.14068
04Feb1982,1143,1610.342536,2006,2211.855068,0,0,252835.2827,194011.5646,0.69,0.863685697,4141.00,4143.983139,4141.68,4144.392553,17411.20,269447.5011,24520.32,41306.35563
05Feb1982,1084,1460.342536,1894,2068.475903,0,0,252835.2827,194011.5646,0.69,0.857572746,4141.00,4143.986134,4141.71,4144.406835,17470.34,272096.0474,25389.35,42276.75239
06Feb1982,996,1310.342536,1793,1947.213405,0,0,252835.2827,194011.5646,0.68,0.85063645,4141.00,4143.99097,4141.74,4144.422139,17609.73,274744.5937,26242.37,43181.39708
07Feb1982,920,1160.342536,1699,1787.659237,0,0,252835.2827,194011.5646,0.67,0.844310298,4141.00,4143.996532,4141.79,4144.438491,17827.47,277393.14,27095.39,44076.95913
08Feb1982,869,1010.342536,1625,1598.921736,0,0,252835.2827,194011.5646,0.66,0.837138815,4141.00,4144.004605,4141.85,4144.457925,18127.98,280041.6864,27942.42,44985.65341
09Feb1982,815,860.3425362,1543,1431.888402,0,0,252835.2827,194011.5646,0.65,0.830217202,4141.00,4144.014237,4141.92,4144.479096,18491.01,282690.2327,28769.44,45951.34769
10Feb1982,755,710.3425362,1462,1246.646733,0,0,252835.2827,194011.5646,0.64,0.823535088,4141.00,4144.027176,4141.99,4144.503799,18913.67,285338.779,29571.46,46898.09156
11Feb1982,683,436.4956922,1385,987.3957234,0,0,252835.2827,194011.5646,0.63,0.815871496,4141.00,4144.043785,4142.08,4144.423754,19386.54,287987.3253,30361.49,47768.00072
12Feb1982,619,408.4614818,1304,946.1781782,0,0,252835.2827,194011.5646,0.62,0.809445679,4141.00,4144.06177,4142.17,4144.561725,19895.38,290635.8717,31157.51,48901.64541
13Feb1982,495,834.3218496,1406,1427.971879,0,0,252835.2827,194011.5646,0.61,0.801967246,4141.00,4144.077811,4142.29,4144.462134,20428.27,293284.418,31971.53,50211.0359
14Feb1982,300,27.82592718,2045,950.1365547,0,0,252835.2827,194011.5646,0.60,0.794683985,4141.00,4144.100697,4142.43,4144.62123,20972.60,295567.3673,32911.56,51061.81457
15Feb1982,300,4499.071188,2981,5696.701383,0,0,252835.2827,194011.5646,0.60,0.787772007,4141.00,4144.15693,4142.58,4144.540247,21517.95,298755.763,34047.57,51061.81457
16Feb1982,300,2935.405741,4005,4927.865105,0,0,252835.2827,194011.5646,0.59,0.786418587,4141.00,4144.161638,4142.63,4144.596726,22055.54,298251.268,34957.44,48078.75438
17Feb1982,300,3328.42599,5163,6327.160357,0,0,252835.2827,194011.5646,0.59,0.777696198,4141.00,4144.176573,4142.66,4144.531584,22587.06,300899.8143,35694.83,48078.75438
